Program Name,Category,Agency Name,Bureau Name,Funding Amount,Funding Amount Notes,Period of Availability,Funding Mechanism,New Program (Yes/No),Recipients,Program Description,Eligible Uses,Next Program Milestone,sam.gov link,Statutory Location,Federal Cost Share Requirement
Rehabilitation of High Hazard Potential Dams,Clean Energy and Power,Department of Homeland Security,Federal Emergency Management Agency,"$585,000,000",,Available until expended,Grant,No,States,The Rehabilitation of High Hazard Potential Dams Grant Program makes available Federal funds to eligible States for pass through to non-Federal governmental organizations or nonprofit organizations for the rehabilitation of dams that fail to meet minimum dam safety standards and pose unacceptable risk to life and property.,"Eligible activities include repair, removal, or any other structural or nonstructural measures to rehabilitate an eligible high hazard potential dam. The Federal Emergency Management Agency’s Rehabilitation of High Hazard Potential Dams grant program provides technical, planning, design, and construction assistance for eligible rehabilitation activities that reduce dam risk and increase community preparedness.",Funding Opportunity Closed in Q1 2023,https://sam.gov/fal/54bdd7b98bf143a0bd567ad86b3206ab/view,"Division J, Title V",
Removal Of Vegetation For Biochar And Innovative Wood Products,Resilience,Department of Agriculture,Forest Service,"$100,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,"This program, through contracting or employing crews of laborers, supports the modification and removal of flammable vegetation on Federal land and for using materials from treatments, to the extent practicable, to produce biochar and other innovative products, including through the use of locally based organizations that engage young adults, Native youth, and veterans in service projects, such as youth and conservation corps.",To be determined.,Supporting FS Wood Innovations and Community Forest grants: https://www.fs.usda.gov/science-technology/energy-forest-products/wood-innovation in May 2022,,40803,No non-Federal cost share required
Research And Development Via Joint Fire Science Program Partnership With Department Of Interior,Resilience,Department of Agriculture,Forest Service,"$10,000,000",,Each annual $2 million tranche has a five-year period of availability,"Grant, facilitated through interagency agreement with the Department of Interior (Bureau of Land Management).",No,Institutions Of Higher Education,"The Joint Fire Science Program funds scientific research on wildland fires and distributes results to help policymakers, fire managers and practitioners make decisions.",Uses are determined by the Department of the Interior.,To be determined,,"Division J, Title VI",No non-Federal cost share required
Research Supercomputing,Resilience,Department of Commerce,National Oceanic and Atmospheric Administration,"$80,000,000",,3 years,"Contract, Cooperative Agreement",No,"Public Higher-Ed Institutions, Federal Partners, Businesses",National Oceanic and Atmospheric Administration’s Research and Development High Performance Computing funds will be used to provide computational resources to support and advance environmental modeling crucial for understanding critical Earth systems.,"The research supercomputing plan will be prioritized across the focus areas of weather and climate model development to improve drought, flood, and wildfire prediction, detection, and forecasting. Funds will support high performance computing systems, associated storage devices, advanced data communications hardware and software engineering services, security, and necessary data center space.",To be determined,https://sam.gov/fal/c401df859cf1424aa4c0e9c791ba57f9/view,"Division J, Title II",No non-Federal cost share required
"Research, Development, Demonstration and Deployment Projects",Public Transportation,Department of Transportation,Federal Transit Administration,"$132,218,677",,"Non-expiring, available until expended","Cooperative Agreement, Contract, Competitive Grant",No,"States, Counties, Cities / Townships, Special Districts, Tribal Governments (Federally recognized), Providers of Public Transportation, Private or Nonprofit organizations, Institutions of Higher Education, and Technical or Community Colleges.","Provides funding to assist innovative projects and activities that advance and sustain safe, efficient, equitable, climate-friendly public transportation. Eligible research and demonstrations under this program explore novel approaches to improve public transportation service – especially for transit-dependent individuals; advance vehicle and system technologies for safety, energy efficiency, and operational performance; use data for enhanced insights; and undertake other activities that help transit agencies meet equity, safety, climate change and transformation goals for a safer, environmentally cleaner, socially just and connected public transportation system.","Research, innovative development, deployment, demonstration, evaluation activities","Other: FTA supports various research initiatives using this funding. Funding can be issued through various means, including cooperative agreements and Notices of Funding Opportunity. FTA will announce these opportunities on its website when they become available.",,30007,80 percent Federal / 20 percent non-Federal
Restoration & Enhancement Grant Program,Passenger and Freight Rail,Department of Transportation,Federal Railroad Administration,"$250,000,000",,Available until expended,Competitive Grant,No,"States, including the District of Columbia. An entity implementing an interstate compact. A public agency/publicly chartered authority established by 1 or more States. A political subdivision of a State. Federally recognized Tribes. Amtrak & Other IPR Carriers. Rail Carriers in partnership with at least 1 of the entities described above.","To provide operating assistance to initiate, restore, or enhance intercity passenger rail service.
Key Changes to existing program:
New priority to applications for routes selected under the Corridor Identification and Development Program and operated by Amtrak. Grants may provide operating assistance for up to six years, and may not exceed: 90 percent of the projected net operating costs for the first year of service; 80 percent of the projected net operating costs for the second year of service; 70 percent of the projected net operating costs for the third year of service; 60 percent of the projected net operating costs for the fourth year of service; 50 percent of the projected net operating costs for the fifth year of service; and 30 percent of the projected net operating costs for the sixth year of service.","(1) Establishing new services; (2) additional frequencies; (3) service extensions; (4) offering new on-board services. Examples of eligible expenses can include: train engineer staffing, fuel, train dispatching, station management, and overhead.",NOFO Open in Summer 2022 (tentative),https://sam.gov/fal/68893f7bd7a44422980020c96f0d075f/view,22908,Year 1 - 90 percent Federal / 10 percent non-Federal; Year 2 - 80 percent Federal / 20 percent non-Federal; Year 3 - 70 percent Federal / 30 percent non-Federal; Year 4 - 60 percent Federal / 40 percent non-Federal; Year 5 - 50 percent Federal / 50 percent non-Federal; Year 6 - 30 percent Federal / 70 percent non-Federal
Restoration Projects Via States And Tribes,Resilience,Department of Agriculture,Forest Service,"$160,000,000",,Available until expended,Grant,No,"States, Tribes","This program is responsible for management of programs with authority to dispose of National Forest System timber and non-timber forest products harvested for commercial, personal, and Tribal uses.","Focus areas include sale preparation, contract administration, purchaser suspension and debarment, special forest products, and related authorities and programs.",To be determined,,40803,No non-Federal cost share required
Restore Native Vegetation On Federal/Non-Federal Land,Resilience,Department of Agriculture,Forest Service,"$100,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,"This program ensures the productive and sustainable use of National Forest System lands by improving the condition and health of forest and rangeland vegetation, controlling the spread of invasive species, sustaining soil productivity, reducing the risk of severe flooding and erosion in areas affected by severe fire, and maintaining water quality.",Restoration carried out on National Forest System Lands and identified using the Watershed Condition Framework.,To be determined,,40804,Varies
Revegetation Effort to Implement National Seed Strategy,Resilience,Department of Agriculture,Forest Service,"$70,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,"The National Seed Strategy, developed in partnership with the Plant Conservation Alliance and the U.S. Department of Agriculture, guides ecological restoration across major landscapes, especially those lands damaged by rangeland fires, invasive species, severe storms, and drought.",Revegetation of disrupted areas on National Forest System lands.,To be determined,,40804,No non-Federal cost share required
Rural And Municipal Utility Advances Cybersecurity Grant And Technical Assistance Program,Resilience,Department of Energy,"Cybersecurity, Energy Security, and Emergency Response","$250,000,000",,Available until expended,Grant / Cooperative Agreement / Contract,Yes,"Rural Electric Cooperatives, Municipally-Owned Electric Utilities, Other State-Owned Utilities, Small Investor-Owned Utilities","To provide grants and technical assistance to, and enter into cooperative agreements with, eligible entities to protect against, detect, respond to, and recover from cybersecurity threats.",(1) To deploy advanced cybersecurity technologies for electric utility systems; and (2) to increase the participation of eligible entities in cybersecurity threat information sharing programs.,RFI Released in Q4 2022,https://sam.gov/fal/dcb3e5123f3c4b4fb8638588fbdb9ebc/view,40124,
Rural Surface Transportation Grant Program,"Roads, Bridges and Major Projects",Department of Transportation,Office of the Secretary,"$2,000,000,000",,4 year,Competitive Grant,Yes,"State, Regional transportation planning organizations, Local governments, Tribal governments","Rural Surface Transportation Grant Program will support projects to improve and expand the surface transportation infrastructure in rural areas to increase connectivity, improve the safety and reliability of the movement of people and freight, and generate regional economic growth and improve quality of life.","Highway, bridge, or tunnel projects eligible under the National Highway Performance Program, Surface Transportation Block Grant Program, or the Tribal Transportation Program; highway freight project eligible under the National Highway Performance Program; highway safety improvement project; project on a publicly-owned highway or bridge improving access to certain facilities that support the economy of a rural area; integrated mobility management system, transportation demand management system, or on-demand mobility services.",First Round of Funding Allocated / Selections Announced in Fall 2022,https://sam.gov/fal/50471f650c3c4bb6a74b40c151b0381a/view,11101; 11132,"80 percent Federal / 20 percent non-Federal except 100 percent Federal for Appalachian Development Highway System, Denali Access System Program projects"
Rural Transportation Assistance Program,Public Transportation,Department of Transportation,Federal Transit Administration,"$91,552,911",,Year of Apportionment + two years,Formula Grant,No,States,"Provides funding to States for transportation research, technical assistance, training, and related support services in rural areas.","Technical Assistance, and training activities.",Additional Round of Funding Allocated / Selections Announced in Fall 2022,https://sam.gov/fal/7bec83870b5743deb7f9b2a0ed87ce53/view,30017,No non-Federal cost share required
Rural Water Projects,Water,Department of the Interior,Bureau of Reclamation,"$1,000,000,000",,Available until expended,Project Funding,No,"Existing authorized projects - not for new opportunities - Tribal, Local","Funding for Rural Water will support the seven rural water projects that have been authorized by an Act of Congress before July 1, 2021, in accordance with the Reclamation Rural Water Supply Act of 2006 (43 U.S.C. 2401 et seq.).",Rural Water projects,Additional Round of Funding Allocated / Selections Announced in Winter 2022/23,https://sam.gov/search/?index=cfda&page=1&pageSize=25&sort=-modifiedDate&sfm%5BsimpleSearch%5D%5BkeywordRadio%5D=ANY&sfm%5BsimpleSearch%5D%5BkeywordTags%5D%5B0%5D%5Bkey%5D=%2215.516%2015.520%2015.522%2015.548%2015.553%2015.558%22&sfm%5BsimpleSearch%5D%5BkeywordTags%5D%5B0%5D%5Bvalue%5D=%2215.516%2015.520%2015.522%2015.548%2015.553%2015.558%22&sfm%5Bstatus%5D%5Bis_active%5D=true,40901,"Cost share applies to E. New Mex project, but matching is not required"
Safe Streets and Roads for All,Safety,Department of Transportation,Office of the Secretary,"$5,000,000,000",,Available until expended,Competitive Grant,Yes,"A metropolitan planning organization, a political subdivision of a State, a Federally recognized Tribal government, and a multijurisdictional group of any of the aforementioned entities.","The Office of the Secretary's Safe Streets and Roads for All Grant program provides supplemental funding to support local initiatives to prevent death and serious injury on roads and streets, commonly referred to as ‘‘Vision Zero’’ or ‘‘Toward Zero Deaths’’ initiatives.","Development of a comprehensive safety action plan, conducting planning, design, and development activities for projects and strategies identified in a comprehensive safety action plan, and carrying out such projects and strategies.",Funding Opportunity Closed in September 2022,,24112,80 percent Federal / 20 percent non-Federal
"Safety of Dams, Water Sanitation, And Other Facilities",Water,Department of the Interior,Bureau of Indian Affairs,"$200,000,000",,Available until expended,Contract/Compact,No,Tribal Governments - Recognized,The Bureau of Indian Affairs Safety of Dams aims to reduce the potential loss of human life and property damage caused by dam failure by making Bureau of Indian Affairs dams as safe as practically possible. Safety of Dams is responsible for dams on Indian land. These dams form a significant part of the water-resources infrastructure on Indian reservations. The water sanitation and safety program supports improvement and repair projects that address public health and safety compliance issues at Bureau of Indian Affairs-owned drinking water and sanitation systems.,"Safety of Dams funding is planned to be used to accelerate rehabilitation activities using current prioritization methodology. Water sanitation funds will address deferred maintenance and deficiencies identified in condition assessments, environmental health reviews and audit reports.",Additional Round of Funding Allocated / Selections Announced in 2023,,"Division J, Title VI",No non-Federal cost share required
Safety-Related Activities (Set-aside),"Electric Vehicles, Buses and Ferries",Department of Transportation,Federal Highway Administration,"$17,500,000",,4 year,Competitive Grant,No,States (including District of Columbia),"This set-aside is for transportation safety outreach, training, and education.","Eligible activities includes: Operation Lifesaver, the Public Road Safety Clearinghouse, Work Zone Safety Grants, the National Work Zone Safety Information Clearinghouse, and guardrail training",First Round of Funding Allocated / Selections Announced in Spring 2023,https://sam.gov/fal/50471f650c3c4bb6a74b40c151b0381a/view,11124,No non-Federal cost share required
Section 118 Of Water Resources Development Act of 2020,Resilience,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$30,000,000",,Available until expended,Direct Federal,Yes,"In partnership with State, local, and Tribal governments, the Army Corps would use funding to carry out feasibility studies",Pilot program to carry out feasibility studies for flood risk management and hurricane and storm damage risk reduction projects that incorporate natural features or nature-based features for rural communities and economically disadvantaged communities.,All eligible parties requiring work for the qualifying infrastructure.,To be determined,,"Division J, Title III","In general, unless otherwise specified in law, studies are 100 percent Federally funded."
Section 243 Hydroelectric Efficiency Improvement Incentives (Sec 40332),Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$75,000,000",,Available until expended,Incentive payment,Yes,Owners or operators of hydroelectric facilities at existing dams,To incentivize upgrades to hydroelectric facilities to increase their efficiency.,Capital improvements to hydroelectric facilities at existing dams to improve the efficiency of such facilities by at least 3 percent. Maximum percentage of Federal funds going to the capital improvement is 30 percent with a total cap of $5 million per facility.,NOI Released in Q2 2023,,40332,Not applicable
Sector Risk Management Agencies,Resilience,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,"$35,000,000",,Five Year,Contract,No,Federal (Department of Homeland Security/ Cybersecurity and Infrastructure Security Agency),"The requested funding will allow the Cybersecurity and Infrastructure Security Agency to sustain coordinated support for Sector Risk Management Agencies across the Federal government, cultivating sector-specific expertise within the agency.","First, the Cybersecurity and Infrastructure Security Agency will execute and sustain its capacity to effectively conduct and oversee cross-sector governance, management, administrative, and performance measurement initiatives in support of Cybersecurity and Infrastructure Security Agency’s national cross-sector coordination role. These capabilities will expand Cybersecurity and Infrastructure Security Agency’s capacity to serve as a cross-sector focal point for cybersecurity, infrastructure security, emergency communications, and risk management for all critical infrastructure sectors. This effort will also provide the national critical infrastructure community the capability and expertise to track progress towards collective outcomes and national priorities. Second, the Cybersecurity and Infrastructure Security Agency will execute and sustain risk analytic and risk management support across all sixteen critical infrastructure sectors to bolster both insight into cross-sector risk and significant risk issues within high priority sectors such as Communications and Information Technology. These expanded risk activities will allow the Cybersecurity and Infrastructure Security Agency to routinely assess the risk present within and across sectors and enable prioritization and identification of focused risk management initiatives supporting real, tangible risk reduction outcomes. Third, the Cybersecurity and Infrastructure Security Agency will maintain the process and cycle for collecting sector-specific critical infrastructure information from Sector Risk Management Agencies. This supports both the development of critical infrastructure intake, taxonomy and data stewardship processes and procedures, and a unified Sector Risk Management Agencies approach to characterizing risk mitigation vulnerability countermeasures guidance that Sector Risk Management Agencies and Cybersecurity and Infrastructure Security Agency produce.",Spend Plans were submitted with apportionment request to OMB. Funding is being executed internal to CISA.,,,No non-Federal cost share required
Secure Rural Schools,Other,Department of Agriculture,Forest Service,"$585,000,000",,Available until expended,Grant/Financial Assistance,No,States and Counties,"The Secure Rural Schools program provides critical funding for schools, roads, and other municipal services to more than 700 counties across the United State and Puerto Rico.",Payments to States,Funding Opportunity Closed in September 2022,,41202,No non-Federal cost share required
Smart Grid Investment Matching Grant Program,Clean Energy and Power,Department of Energy,Electricity,"$3,000,000,000",,"$600,000,000 appropriated annually for fiscal years 2022 through 2026 (to remain available until expended)",Grant,Yes,Utilities,Funding and expansion of eligible activities under the Smart Grid Investment Matching Grant Program established under section 1306 of the Energy Independence and Security Act of 2007.,"Qualifying Smart Grid investments including for installation, that allow buildings to engage in demand flexibility or Smart Grid functions. Qualifying Smart Grid investments including for installation, that allow buildings to engage in demand flexibility or Smart Grid functions. Eligible investments include metering, control, and other devices, sensors, and software; communications and broadband technologies to support smart grid deployment; technologies and programs to integrate electric vehicles to the grid; devices and software for buildings support demand flexibility and other smart grid functions; operational fiber and wireless broadband communications networks enabling data sharing between distribution system components; and Advanced transmission technologies, including dynamic line rating, flow control devices, advanced conductors, and network topology optimization, to increase the operational transfer capacity transmission networks.",FOA Open in Q4 2022,https://sam.gov/fal/207c437036444d9197fb38c522b0f942/view,40107,A 50 percent cost-share of total costs.
Soil Moisture and Snowpack Pilot Program,Water,Department of Commerce,National Oceanic and Atmospheric Administration,"$1,000,000",,2 years for each annual tranche,Various,No,"States, Counties, Cities / Townships, Special Districts, Tribal Governments (Federally Recognized), Tribal Governments (Other Than Federally Recognized), Public Higher-Ed Institutions, Private Higher-Ed Institutions, Nonprofits With 501(C)(3) Status, Nonprofits - Without 501(C)(3) Status, Small Businesses, Businesses (Other Than Small Businesses), And / Or Individuals",The study of the soil moisture and snowpack monitoring network in the Upper Missouri River Basin pursuant to section 511(b)(3) of the Water Resources Development Act of 2020 (division AA of Public Law 116–260) (see Provision 4 description).,The study of the soil moisture and snowpack monitoring network in the Upper Missouri River Basin,To be determined,https://sam.gov/fal/c401df859cf1424aa4c0e9c791ba57f9/view,"Division J, Title II",No non-Federal cost share required
Solar Energy Research and Development,Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$40,000,000",,Available until expended,Cooperative Agreement,No,"(A) An institution of higher education; (B) A National Laboratory; (C) A Federal research agency; (D) A State research agency; (E) A research agency associated with a territory or freely associated State; (F) a Tribal energy development organization; (G) a Tribe; (H) a Tribal organization; (I) a Native Hawaiian community-based organization; (J) a nonprofit research organization; (K) an industrial entity; (L) any other entity, as determined by the Secretary; and (M) a consortium of 2 or more entities described in subparagraphs (A) through (L).","To fund research, development, demonstration, and commercialization activities to improve solar energy technologies.","Research, development, demonstration, and commercialization activities, including: (i) awarding grants and awards, on a competitive, merit-reviewed basis; (ii) performing precompetitive research and development; (iii) establishing or maintaining demonstration facilities and projects, including through stewardship of existing facilities; (iv) providing technical assistance; (v) entering into contracts and cooperative agreements; (vi) providing small business vouchers; (vii) establishing prize competitions; (viii) conducting education and outreach activities; (ix) conducting workforce development activities; and (x) conducting analyses, studies, and reports.",Funding Opportunity Closed in November 2022,https://sam.gov/fal/3f75036824054409bfe2bcf24b45d8f2/view,41007,TBD
Solar Recycling Research & Development,Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$20,000,000",,Available until expended,Cooperative Agreements and Management and Operating Contracts at National Laboratories,Yes,"(A) An institution of higher education; (B) a National Laboratory; (C) a Federal research agency; (D) a State research agency; (E) a research agency associated with a territory or freely associated State; (F) a Tribal energy development organization; (G) a Tribe; (H) a Tribal organization; (I) a Native Hawaiian community-based organization; (J) a nonprofit research organization; (K) an industrial entity; (L) any other entity, as determined by the Secretary; and (M) a consortium of two or more entities described in (A) through (L). ","To award financial assistance to eligible entities for research, development, demonstration, and commercialization projects to create innovative and practical approaches to increase the reuse and recycling of solar energy technologies.","Projects aimed at increasing the reuse and recycling of solar energy technologies, including: (i) increasing the efficiency and cost effectiveness of the recovery of raw materials from solar energy technology components and systems, including enabling technologies such as inverters; (ii) minimizing potential environmental impacts from the recovery and disposal processes; (iii) advancing technologies and processes for the disassembly and recycling of solar energy devices; (iv) developing alternative materials, designs, manufacturing processes, and other aspects of solar energy technologies and the disassembly and resource recovery process that enable efficient, cost effective, and environmentally responsible disassembly of, and resource recovery from, solar energy technologies; and (v) strategies to increase consumer acceptance of, and participation in, the recycling of photovoltaic devices.",Funding Opportunity Closed in Q4 2022,https://sam.gov/fal/3f75036824054409bfe2bcf24b45d8f2/view,41007,TBD
Solid Waste Infrastructure for Recycling Infrastructure Grants,Other,Environmental Protection Agency,State and Tribal Assistance Grants,"$275,000,000",,Available until expended,Cooperative Agreements and/or Grants,Yes,"States (including the District of Columbia, a territory or possession of the United States, or any political subdivision of a State, Tribe, or territory), Tribes, InterTribal Consortia consistent with the requirements in 40 CFR 35.504(A), Former Indian Reservations in Oklahoma (As Determined by The Secretary of The Interior), and Alaskan Native Villages as defined in Public Law 92–203.",Communities across the country are burdened by pollution impacts from inefficient waste management systems. This historic investment will transform recycling and solid waste management across the country while creating jobs.,Provide grants to implement a strategy to improve post-consumer materials management and infrastructure; support improvements to local post-consumer materials management and recycling programs; and assist local waste management authorities in making improvements to local waste management systems.,Funds will be made available for application in fall/winter 2022,,70402,No non-Federal cost share required
Southeast Crescent Regional Commission Funding,Other,Southeast Crescent Regional Commission,Southeast Crescent Regional Commission,"$5,000,000",,Available until expended,,,,"The Southeast Crescent Regional Commission is engaged in planning for the allocation of Bipartisan Infrastructure Law appropriations. Southeast Crescent Regional Commission States are Alabama, Florida, Georgia, Mississippi, North Carolina, South Carolina, and Virginia.",Eligible uses will be determined at a future date.,To be determined,,"Division J, Title III","Maximum Southeast Crescent Regional Commission share is 50 percent or 80 percent, depending on the community’s level of economic distress"
Southwest Ecological Restoration Institute,Resilience,Department of Agriculture,Forest Service,"$20,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,"Southwest Ecological Restoration Institute will compile and display data for fuels treatments and wildfire, to facilitate coordination and use of existing and future interagency fuel treatment data, and to carry out other related activities of a Southwest Ecological Restoration Institute.",Grant to Southwest Ecological Restoration Institute,To be determined,,40803,No non-Federal cost share required
State and Local Cybersecurity Grant Program,Resilience,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,"$1,000,000,000",,"Varying amounts per fiscal year for the next four fiscal years: $200 million for fiscal year 2022, $400 million for fiscal year 2023, $300 million for fiscal year 2024, and $100 million for fiscal year 2025",Grant,Yes,"State, territorial, and Tribal governments or multi-entity groups of two or more eligible entities.","The State and Local Cybersecurity Grant Program makes available Federal funds to State, local, and Tribal governments to address cybersecurity risks and cybersecurity threats to information systems that they own or operate. The Department of Homeland Security is also separately administering the statutory Tribal set-aside funding as its own Tribal Cybersecurity Grant Program under this authority.","Develop and revise cybersecurity plans; implement elements of the cybersecurity plan (including individual projects); address imminent cybersecurity threats, as confirmed by the Department of Homeland Secretary, acting through the Cybersecurity and Infrastructure Security Agency Director; grants management and administration (5 percent maximum); any other appropriate activity determined by the Department of Homeland Security Secretary, acting through the Cybersecurity and Infrastructure Security Agency Director.",Release of NOFO in Q1 2023,,"Division J, Title V","fiscal year 2022 for individual recipients: 90 percent Federal; 10 percent Non-Federal; for multi-entity groups: 100 percent Federal
fiscal year 2023 for individual recipients: 80 percent Federal; 20 percent Non-Federal; for multi-entity groups: 90 percent Federal; 10 percent Non-Federal
fiscal year 2024 for individual recipients: 70 percent Federal; 30 percent Non-Federal; for multi-entity groups: 80 percent Federal; 20 percent Non-Federal
fiscal year 2025 for individual recipients: 60 percent Federal; 40 percent Non-Federal; for multi-entity groups: 70 percent Federal; 30 percent Non-Federal"
State Digital Equity Capacity Grant,Broadband,Department of Commerce,National Telecommunications and Information Administration,"$1,440,000,000",,Available until expended,Grant,Yes,"States, Territories, District of Columbia","As part of the Digital Equity Act programs, $2.75 billion was dedicated to establish three grant programs that promote digital inclusion and equity to ensure that all individuals and communities have the skills, technology, and capacity needed to reap the full benefits of our digital economy. The goal of these programs is to promote the meaningful adoption and use of broadband services across the targeted populations in the Act, including low-income households, aging populations, incarcerated individuals, veterans, individuals with disabilities, individuals with a language barrier, racial and ethnic minorities, and rural inhabitants. The State Digital Equity Capacity Grant Program dedicates a $1.44 billion formula grant program for States, Territories, Tribal governments, Alaska Native entities, Native Hawaiian organizations distributed via annual grant programs over five years to implement digital equity projects and support the implementation of digital equity plans.","Planning (e.g. feasibility), broadband adoption/digital literacy/tech support",NOFO Open in Q1 2023,,60304,Grants may not cover more than 90 percent of the cost of a single project - though this can be waived
State Digital Equity Competitive Grant,Broadband,Department of Commerce,National Telecommunications and Information Administration,"$1,250,000,000",,Available until expended,Grant,Yes,"Local Education Agency; State Governments, including any political subdivisions of the State; Tribal/Native American Governments; Alaska Native Entities; and Native Hawaiian Organizations, Non-Profit Organizations; Community Anchor Institutions; and Workforce Development Programs","As part of the Digital Equity Act programs, $2.75 billion was dedicated to establish three grant programs that promote digital inclusion and equity to ensure that all individuals and communities have the skills, technology, and capacity needed to reap the full benefits of our digital economy. The goal of these programs is to promote the meaningful adoption and use of broadband services across the targeted populations in the Act, including low-income households, aging populations, incarcerated individuals, veterans, individuals with disabilities, individuals with a language barrier, racial and ethnic minorities, and rural inhabitants. The Digital Equity Competitive Grant Program is a $1.25 billion discretionary grant program distributed via annual grant programs over five years to implement digital equity projects. Eligible applicants include specific types of political subdivision, agency, or instrumentality of a State; Tribal governments; nonprofit entities; community anchor institutions; local educational agencies; and entities that carry out workforce development programs.","Broadband adoption/digital literacy/tech support, digital equity programs","NOFO to be released in FY 2023, 30-days after State Capacity awards are made",,60305,Grants may not cover more than 90 percent of the cost of a single project
State Digital Equity Planning Grant,Broadband,Department of Commerce,National Telecommunications and Information Administration,"$60,000,000",,Available until expended,Grant,Yes,"States, Territories, District of Columbia","As part of the Digital Equity Act programs, $2.75 billion was dedicated to establish three grant programs that promote digital inclusion and equity to ensure that all individuals and communities have the skills, technology, and capacity needed to reap the full benefits of our digital economy. The goal of these programs is to promote the meaningful adoption and use of broadband services across the targeted populations in the Act, including low-income households, aging populations, incarcerated individuals, veterans, individuals with disabilities, individuals with a language barrier, racial and ethnic minorities, and rural inhabitants. The State Digital Equity Planning Grant Program is a $60 million formula grant program for States and territories to develop digital equity plans.",Planning (e.g. feasibility).,Funding will be released on a rolling basis between August-November 2022,,60304,
State Energy Program,Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$500,000,000",,Available until expended,Formula Grant,No,States,"To provide funding to States to support electric transmission and distribution planning as well as planning activities and programs that help reduce carbon emissions in all sectors of the economy, including the transportation sector and accelerate the use of alternative transportation fuels and vehicle electrification.","Energy conservation measures, renewable energy measures, and programs to increase deployment of clean energy technologies in buildings, industry and transportation, including programs to help reduce carbon emissions in the transportation sector and accelerate the use of alternative transportation fuels for, and the electrification of, State government vehicles, fleet vehicles, taxis and ridesharing services, mass transit, school buses, ferries, and privately owned passenger and medium- and heavy-duty vehicles .",Administrative and Legal Requirements Document will be released TBD,https://sam.gov/fal/16a0bdfa2f4644d8b48c7c11d78faa48/view,40109,No non-Federal cost share required
State Fire Assistance,Resilience,Department of Agriculture,Forest Service,"$88,000,000",,Each annual $17.6 million tranche has a four-year period of availability,"Grant, Financial Assistance, Technical Assistance",No,Community And State (Primary Partners Including National Association of State Foresters And State Forestry Agencies),"Through the State Fire Assistance program, the Forest Service supports and assists State Foresters and local communities in building capacity for wildfire prevention, mitigation, control, and suppression on non-Federal lands. The program helps State agencies create more fire-adapted communities by implementing pre-fire prevention and mitigation programs and emphasizing pre-fire planning and risk reduction in the Wildland Urban Interface. The program funds important training in safer initial attack responses to wildfire that are also effective. Additionally, the program improves capacity to assist other Federal, State, and local agencies in aiding communities affected by fire and non-fire emergencies, such as hurricanes and floods",Supporting States and local communities.,FY22 State project soliciation complete,https://sam.gov/fal/14e082e9b996414886e5fbeab432cf50/view,"Division J, Title VI",Yes
State Forest Action Plans,Other,Department of Agriculture,Forest Service,"$200,000,000",,Each annual $40 million tranche has a 4 year period of availability,Grants,No,States and Territories,"To implement State Forest Action Plans. State plans were revised in 2020 for all 59 States and territories—they offer practical and comprehensive roadmaps for investing Federal, State, local, and private resources where they can be most effective in achieving national conservation goals.",Those activities identified in State Forest Action plans.,Soliciting information from States,,"Division J, Title VI",Yes
State Incentives Pilot Program (Set-aside within Nationally Significant Freight and Highway Projects - INFRA),"Roads, Bridges and Major Projects",Department of Transportation,Office of the Secretary,"$750,000,000",,4 year,Competitive Grant,Yes,"States, Metropolitan Planning Organizations, Tribal governments, special-purpose districts and port authorities with a transportation function, and local governments","INFRA awards competitive grants for multimodal freight and highway projects of national or regional significance to improve the safety, efficiency, and reliability of the movement of freight and people.","Projects that improve safety, generate economic benefits, reduce congestion, enhance resiliency, and hold the greatest promise to eliminate freight bottlenecks and improve critical freight movements.",First Round of Funding Allocated / Selections Announced in Spring 2022,https://sam.gov/fal/50471f650c3c4bb6a74b40c151b0381a/view,11110,"50 percent Federal/50 percent non-Federal. For grants awarded under the pilot program, an eligible applicant may not use Federal assistance to satisfy the non-Federal share of the cost, except funds from a secured loan may be used to satisfy the non-Federal share if the loan is repayable from non-Federal funds"
State of Good Repair Formula Grants,Public Transportation,Department of Transportation,Federal Transit Administration,"$21,640,412,832",,Year of Apportionment + 3,Formula Grant,No,"States, Counties, Cities / Townships, Special Districts, Tribal Governments (Federally recognized)","To assist in funding capital projects for existing fixed guideway systems (including rail, bus rapid transit, and passenger ferries) and high intensity motorbus systems (buses operating in high-occupancy vehicle lanes) to maintain public transportation systems in a State of good repair and to ensure public transit operates safely, efficiently, reliably, and sustainably so that communities can offer balanced transportation choices that helps to improve mobility, reduce congestion, and encourage economic development.",Capital,Additional Round of Funding Allocated / Selections Announced in Fall 2022,https://sam.gov/fal/7dcca9f5bebc4df7ad3883097e357154/view,30017,80 percent Federal / 20 percent non-Federal
